distance [m],Energy [eV]
0.0214,6076984.752219361
0.0215,6068672.950406529
0.0216,6060352.889764404
0.0217,6052024.543632076
0.0218,6043687.885204621
0.0219,6035342.887528141
0.022,6026989.5235014185
0.0221,6018627.765871776
0.0222,6010257.587239214
0.0223,6001878.960047311
0.0224,5993491.856589837
0.0225,5985096.249004972
0.0226,5976692.109274464
0.0227,5968279.409225293
0.0228,5959858.120523884
0.0229,5951428.214679396
0.023,5942989.663038783
0.0231,5934542.436788426
0.0232,5926086.506950009
0.0233,5917621.8443829985
0.0234,5909148.419778845
0.0235,5900666.203662651
0.0236,5892175.166391495
0.0237,5883675.278151145
0.0238,5875166.50895852
0.0239,5866648.82865674
0.024,5858122.206913462
0.0241,5849586.6132233655
0.0242,5841042.016902359
0.0243,5832488.387089234
0.0244,5823925.692742356
0.0245,5815353.90263801
0.0246,5806772.985372054
0.0247,5798182.909354952
0.0248,5789583.642809294
0.0249,5780975.153773934
0.025,5772357.410095709
0.0251,5763730.379433586
0.0252,5755094.02925203
0.0253,5746448.326822669
0.0254,5737793.239222632
0.0255,5729128.7333312435
0.0256,5720454.775829189
0.0257,5711771.333197697
0.0258,5703078.37171439
0.0259,5694375.857454123
0.026,5685663.756286493
0.0261,5676942.033873354
0.0262,5668210.655667175
0.0263,5659469.586911021
0.0264,5650718.792633605
0.0265,5641958.237650104
0.0266,5633187.88655885
0.0267,5624407.703740511
0.0268,5615617.653354769
0.0269,5606817.699340324
0.027,5598007.805410761
0.0271,5589187.9350545425
0.0272,5580358.051532529
0.0273,5571518.117873843
0.0274,5562668.09687669
0.0275,5553807.951105885
0.0276,5544937.642888704
0.0277,5536057.134315721
0.0278,5527166.387235005
0.0279,5518265.363253787
0.028,5509354.02373431
0.0281,5500432.329792178
0.0282,5491500.242292226
0.0283,5482557.721849334
0.0284,5473604.728824296
0.0285,5464641.223321339
0.0286,5455667.165188116
0.0287,5446682.514009093
0.0288,5437687.229107197
0.0289,5428681.269538858
0.029,5419664.594094
0.0291,5410637.161291081
0.0292,5401598.929375437
0.0293,5392549.856316797
0.0294,5383489.899806804
0.0295,5374419.017257356
0.0296,5365337.165796466
0.0297,5356244.3022657875
0.0298,5347140.383218121
0.0299,5338025.364914939
0.03,5328899.203325554
0.0301,5319761.8541188445
0.0302,5310613.272665739
0.0303,5301453.414035071
0.0304,5292282.232989449
0.0305,5283099.683981941
0.0306,5273905.7211552495
0.0307,5264700.298337571
0.0308,5255483.369039289
0.0309,5246254.8864504825
0.031,5237014.803435973
0.0311,5227763.0725353155
0.0312,5218499.645957005
0.0313,5209224.475576826
0.0314,5199937.5129337115
0.0315,5190638.709225602
0.0316,5181328.015307799
0.0317,5172005.381689642
0.0318,5162670.758527897
0.0319,5153324.095627584
0.032,5143965.342435346
0.0321,5134594.448037809
0.0322,5125211.3611566
0.0323,5115816.030143393
0.0324,5106408.402981563
0.0325,5096988.427274588
0.0326,5087556.0502485465
0.0327,5078111.218745491
0.0328,5068653.879220957
0.0329,5059183.977737356
0.033,5049701.459962309
0.0331,5040206.271164516
0.0332,5030698.356207128
0.0333,5021177.659547748
0.0334,5011644.125228507
0.0335,5002097.696878539
0.0336,4992538.317703226
0.0337,4982965.930483363
0.0338,4973380.4775702
0.0339,4963781.900880478
0.034,4954170.141891454
0.0341,4944545.1416359395
0.0342,4934906.840699823
0.0343,4925255.179212954
0.0344,4915590.0968508115
0.0345,4905911.532820422
0.0346,4896219.425866166
0.0347,4886513.7142540375
0.0348,4876794.335774139
0.0349,4867061.227732401
0.035,4857314.326944788
0.0351,4847553.569733162
0.0352,4837778.891919485
0.0353,4827990.228820859
0.0354,4818187.515241242
0.0355,4808370.6854681475
0.0356,4798539.673268496
0.0357,4788694.411877861
0.0358,4778834.833998817
0.0359,4768960.871791826
0.036,4759072.456872763
0.0361,4749169.520302152
0.0362,4739251.992581859
0.0363,4729319.803650121
0.0364,4719372.882868311
0.0365,4709411.1590242395
0.0366,4699434.560315611
0.0367,4689443.014350843
0.0368,4679436.448136659
0.0369,4669414.788073946
0.037,4659377.95995196
0.0371,4649325.888937569
0.0372,4639258.499568632
0.0373,4629175.715749859
0.0374,4619077.460740398
0.0375,4608963.657151353
0.0376,4598834.226932535
0.0377,4588689.091368334
0.0378,4578528.171069435
0.0379,4568351.385961235
0.038,4558158.655281356
0.0381,4547949.897565578
0.0382,4537725.03064122
0.0383,4527483.97162134
0.0384,4517226.636890671
0.0385,4506952.942101482
0.0386,4496662.802159503
0.0387,4486356.131220622
0.0388,4476032.842675979
0.0389,4465692.849145354
0.039,4455336.062467228
0.0391,4444962.393687199
0.0392,4434571.753050533
0.0393,4424164.049989748
0.0394,4413739.193113859
0.0395,4403297.090201749
0.0396,4392837.648186451
0.0397,4382360.773146043
0.0398,4371866.370294536
0.0399,4361354.34396782
0.04,4350824.597613711
0.0401,4340277.033780383
0.0402,4329711.55410229
0.0403,4319128.059291062
0.0404,4308526.4491230855
0.0405,4297906.622422137
0.0406,4287268.477054399
0.0407,4276611.909909443
0.0408,4265936.816889455
0.0409,4255243.092895996
0.041,4244530.631814287
0.0411,4233799.326503266
0.0412,4223049.068778208
0.0413,4212279.749395838
0.0414,4201491.258045214
0.0415,4190683.483323734
0.0416,4179856.312730508
0.0417,4169009.632647331
